Ticker,Sector,Industry
INTU,Technology,Software - Application
BHF,Financial Services,Insurance - Life
COF,Financial Services,Credit Services
IMBBY,Consumer Defensive,Tobacco
CATY,Financial Services,Banks - Regional
VCSH,Broad Market / ETF,Broad Market / ETF
SSEZY,Utilities,Utilities - Diversified
FHN,Financial Services,Banks - Regional
DBSDF,Financial Services,Banks - Regional
FMAO,Financial Services,Banks - Regional
FANUF,Industrials,Specialty Industrial Machinery
SNV,Financial Services,Banks - Regional
FISV,Unknown,Unknown
KNBWY,Consumer Defensive,Beverages - Brewers
HLX,Energy,Oil & Gas Equipment & Services
STBFY,Consumer Defensive,Beverages - Non-Alcoholic
ANYYY,Industrials,Airports & Air Services
BELFB,Technology,Electronic Components
CMWAY,Financial Services,Banks - Diversified
HNI,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
IP,Consumer Cyclical,Packaging & Containers
TDG,Industrials,Aerospace & Defense
SNDK,Technology,Computer Hardware
XBI,Broad Market / ETF,Broad Market / ETF
IFF,Basic Materials,Specialty Chemicals
PII,Consumer Cyclical,Recreational Vehicles
NVZMY,Basic Materials,Specialty Chemicals
AHEXY,Industrials,Staffing & Employment Services
MKKGY,Healthcare,Drug Manufacturers - Specialty & Generic
KKR,Financial Services,Asset Management
THO,Consumer Cyclical,Recreational Vehicles
CHD,Consumer Defensive,Household & Personal Products
AAL,Industrials,Airlines
CVLT,Technology,Software - Application
UGI,Utilities,Utilities - Regulated Gas
EOG,Energy,Oil & Gas E&P
PRIM,Industrials,Engineering & Construction
LDNXF,Financial Services,Financial Data & Stock Exchanges
RPM,Basic Materials,Specialty Chemicals
CE,Basic Materials,Chemicals
ITT,Industrials,Specialty Industrial Machinery
CSTL,Healthcare,Diagnostics & Research
OMRNY,Technology,Electronic Components
PHR,Healthcare,Health Information Services
AA,Basic Materials,Aluminum
SVC,Real Estate,REIT - Hotel & Motel
UMICY,Industrials,Waste Management
CAJPY,Technology,Computer Hardware
LINE,Real Estate,REIT - Industrial
DORM,Consumer Cyclical,Auto Parts
BNS,Financial Services,Banks - Diversified
VLTO,Industrials,Pollution & Treatment Controls
PLD,Real Estate,REIT - Industrial
NOTV,Healthcare,Diagnostics & Research
PCRX,Healthcare,Drug Manufacturers - Specialty & Generic
EHC,Healthcare,Medical Care Facilities
EVTC,Technology,Software - Infrastructure
SOLV,Healthcare,Medical Instruments & Supplies
GBOOY,Financial Services,Banks - Regional
SAFRY,Industrials,Aerospace & Defense
AZN,Healthcare,Drug Manufacturers - General
ROIV,Healthcare,Biotechnology
CRDO,Technology,Semiconductors
PWR,Industrials,Engineering & Construction
AMT,Real Estate,REIT - Specialty
CPRI,Consumer Cyclical,Luxury Goods
GLOB,Technology,Information Technology Services
IBKR,Financial Services,Capital Markets
TEAM,Technology,Software - Application
JSAIY,Consumer Defensive,Grocery Stores
NESR,Energy,Oil & Gas Equipment & Services
BLBD,Industrials,Farm & Heavy Construction Machinery
SPY,Broad Market / ETF,Broad Market / ETF
TX,Basic Materials,Steel
DSNKY,Healthcare,Drug Manufacturers - General
CPRT,Industrials,Specialty Business Services
RJF,Financial Services,Asset Management
SHO,Real Estate,REIT - Hotel & Motel
NEOG,Healthcare,Diagnostics & Research
WPP,Communication Services,Advertising Agencies
CMA,Financial Services,Banks - Regional
CAT,Industrials,Farm & Heavy Construction Machinery
GMED,Healthcare,Medical Devices
BFS,Real Estate,REIT - Retail
CEG,Utilities,Utilities - Independent Power Producers
HSHCY,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
IOT,Technology,Software - Infrastructure
MTG,Financial Services,Insurance - Specialty
A,Healthcare,Diagnostics & Research
SPWR,Technology,Solar
DE,Industrials,Farm & Heavy Construction Machinery
APPS,Technology,Software - Application
EFG,Broad Market / ETF,Broad Market / ETF
CACI,Technology,Information Technology Services
MAGN,Consumer Defensive,Household & Personal Products
Z,Communication Services,Internet Content & Information
VRSK,Industrials,Consulting Services
ANET,Technology,Computer Hardware
DOC,Real Estate,REIT - Healthcare Facilities
MAT,Consumer Cyclical,Leisure
SBFM,Healthcare,Drug Manufacturers - Specialty & Generic
MASI,Healthcare,Medical Devices
IJR,Broad Market / ETF,Broad Market / ETF
DGRO,Broad Market / ETF,Broad Market / ETF
DLTR,Consumer Defensive,Discount Stores
VACNY,Industrials,Specialty Industrial Machinery
SCHW,Financial Services,Capital Markets
STZ,Consumer Defensive,Beverages - Brewers
TAK,Healthcare,Drug Manufacturers - Specialty & Generic
ARRY,Technology,Solar
HLT,Consumer Cyclical,Lodging
RUSHB,Consumer Cyclical,Auto & Truck Dealerships
MFG,Financial Services,Banks - Regional
JBTM,Industrials,Specialty Industrial Machinery
APP,Communication Services,Advertising Agencies
PSQ,Broad Market / ETF,Broad Market / ETF
DD,Basic Materials,Specialty Chemicals
AMTM,Industrials,Specialty Business Services
PNR,Industrials,Specialty Industrial Machinery
SNOW,Technology,Software - Application
BOOT,Consumer Cyclical,Apparel Retail
OMC,Communication Services,Advertising Agencies
PDD,Consumer Cyclical,Internet Retail
PTEN,Energy,Oil & Gas Drilling
ULTA,Consumer Cyclical,Specialty Retail
UBER,Technology,Software - Application
FLEX,Technology,Electronic Components
BXBLY,Industrials,Specialty Business Services
SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
NTLA,Healthcare,Biotechnology
RTO,Industrials,Specialty Business Services
SFTBY,Communication Services,Telecom Services
AESI,Energy,Oil & Gas Equipment & Services
RACE,Consumer Cyclical,Auto Manufacturers
NWG,Financial Services,Banks - Regional
BAC,Financial Services,Banks - Diversified
CNH,Industrials,Farm & Heavy Construction Machinery
ALIZY,Financial Services,Insurance - Diversified
HIMS,Healthcare,Drug Manufacturers - Specialty & Generic
SNREY,Communication Services,Telecom Services
ATEYY,Technology,Semiconductor Equipment & Materials
TBPH,Healthcare,Biotechnology
BMNR,Financial Services,Capital Markets
MHGVY,Consumer Defensive,Farm Products
DJT,Communication Services,Internet Content & Information
BLDP,Industrials,Electrical Equipment & Parts
RY,Financial Services,Banks - Diversified
BBAI,Technology,Information Technology Services
UEC,Energy,Uranium
OZKAP,Financial Services,Banks - Regional
HALO,Healthcare,Biotechnology
NKE,Consumer Cyclical,Footwear & Accessories
AAGIY,Financial Services,Insurance - Life
DBRG,Financial Services,Asset Management
HOFV,Communication Services,Entertainment
AMSF,Financial Services,Insurance - Specialty
DPZ,Consumer Cyclical,Restaurants
FVRR,Communication Services,Internet Content & Information
DG,Consumer Defensive,Discount Stores
ASXFY,Financial Services,Financial Data & Stock Exchanges
LEG,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AIG,Financial Services,Insurance - Diversified
NINOY,Consumer Cyclical,Leisure
XLRE,Broad Market / ETF,Broad Market / ETF
CAR,Industrials,Rental & Leasing Services
MMC,Financial Services,Insurance Brokers
DAR,Consumer Defensive,Packaged Foods
SSDOY,Consumer Defensive,Household & Personal Products
MSLOY,Industrials,Marine Shipping
BRO,Financial Services,Insurance Brokers
EME,Industrials,Engineering & Construction
SYY,Consumer Defensive,Food Distribution
OUT,Real Estate,REIT - Specialty
MONOY,Consumer Cyclical,Internet Retail
PNC,Financial Services,Banks - Regional
UTZ,Consumer Defensive,Packaged Foods
SAXPY,Financial Services,Insurance - Diversified
JSGRY,Industrials,Building Products & Equipment
CICHY,Financial Services,Banks - Diversified
LMT,Industrials,Aerospace & Defense
VEOEY,Industrials,Waste Management
AES,Utilities,Utilities - Diversified
AONNY,Consumer Cyclical,Department Stores
COKE,Consumer Defensive,Beverages - Non-Alcoholic
VCISY,Industrials,Engineering & Construction
BILL,Technology,Software - Application
EIG,Financial Services,Insurance - Specialty
CNO,Financial Services,Insurance - Life
HOMB,Financial Services,Banks - Regional
NFG,Energy,Oil & Gas Integrated
NAT,Energy,Oil & Gas Midstream
HLI,Financial Services,Capital Markets
NTDTY,Technology,Information Technology Services
PRU,Financial Services,Insurance - Life
HCA,Healthcare,Medical Care Facilities
DANOY,Consumer Defensive,Packaged Foods
GTLB,Technology,Software - Infrastructure
SR,Utilities,Utilities - Regulated Gas
HLIO,Industrials,Specialty Industrial Machinery
MQBKY,Financial Services,Capital Markets
MAS,Industrials,Building Products & Equipment
PLUG,Industrials,Electrical Equipment & Parts
IDEXY,Consumer Cyclical,Apparel Retail
SPXC,Industrials,Building Products & Equipment
TPR,Consumer Cyclical,Luxury Goods
BKE,Consumer Cyclical,Apparel Retail
GLPI,Real Estate,REIT - Specialty
ADM,Consumer Defensive,Farm Products
JAPAY,Consumer Defensive,Tobacco
MHVYF,Industrials,Specialty Industrial Machinery
WSO,Industrials,Industrial Distribution
AHCO,Healthcare,Medical Devices
IVW,Broad Market / ETF,Broad Market / ETF
RWT,Real Estate,REIT - Mortgage
WPC,Real Estate,REIT - Diversified
KD,Technology,Information Technology Services
MTUAY,Industrials,Aerospace & Defense
CDNS,Technology,Software - Application
CR,Industrials,Specialty Industrial Machinery
CMS,Utilities,Utilities - Regulated Electric
IFJPY,Communication Services,Publishing
BUD,Consumer Defensive,Beverages - Brewers
SONO,Technology,Consumer Electronics
OCFC,Financial Services,Banks - Regional
MDB,Technology,Software - Infrastructure
ALKT,Technology,Software - Application
IWN,Broad Market / ETF,Broad Market / ETF
SLGN,Consumer Cyclical,Packaging & Containers
BYDDF,Consumer Cyclical,Auto Manufacturers
NJR,Utilities,Utilities - Regulated Gas
SITE,Industrials,Industrial Distribution
IWM,Broad Market / ETF,Broad Market / ETF
OCDDY,Consumer Defensive,Grocery Stores
UTHR,Healthcare,Drug Manufacturers - Specialty & Generic
FAF,Financial Services,Insurance - Specialty
DNUT,Consumer Defensive,Grocery Stores
IBM,Technology,Information Technology Services
PECO,Real Estate,REIT - Retail
ROK,Industrials,Specialty Industrial Machinery
VAC,Consumer Cyclical,Resorts & Casinos
COP,Energy,Oil & Gas E&P
CSPCY,Healthcare,Drug Manufacturers - General
VYM,Broad Market / ETF,Broad Market / ETF
OLCLY,Consumer Cyclical,Leisure
RC,Real Estate,REIT - Mortgage
LOGI,Technology,Computer Hardware
HUBB,Industrials,Electrical Equipment & Parts
JHX,Basic Materials,Building Materials
ESRT,Real Estate,REIT - Diversified
INVA,Healthcare,Biotechnology
ATHA,Healthcare,Biotechnology
OXBR,Financial Services,Insurance - Reinsurance
R,Industrials,Rental & Leasing Services
WCLD,Broad Market / ETF,Broad Market / ETF
MORN,Financial Services,Financial Data & Stock Exchanges
RLAY,Healthcare,Biotechnology
TECH,Healthcare,Biotechnology
EIX,Utilities,Utilities - Regulated Electric
SWK,Industrials,Tools & Accessories
TRN,Industrials,Railroads
PKG,Consumer Cyclical,Packaging & Containers
AATC,Technology,Scientific & Technical Instruments
TYL,Technology,Software - Application
MU,Technology,Semiconductors
VICI,Real Estate,REIT - Diversified
PWCDF,Financial Services,Insurance - Life
PGNY,Healthcare,Healthcare Plans
JAPSY,Industrials,Airlines
XOM,Energy,Oil & Gas Integrated
TEZNY,Utilities,Utilities - Regulated Electric
RSP,Broad Market / ETF,Broad Market / ETF
CAPL,Energy,Oil & Gas Refining & Marketing
SWRAY,Industrials,Conglomerates
TME,Communication Services,Internet Content & Information
ABG,Consumer Cyclical,Auto & Truck Dealerships
SWX,Utilities,Utilities - Regulated Gas
OLYMY,Healthcare,Medical Devices
TDY,Technology,Scientific & Technical Instruments
EXAS,Healthcare,Diagnostics & Research
LBRDK,Communication Services,Telecom Services
QDEL,Healthcare,Medical Devices
TRGP,Energy,Oil & Gas Midstream
LFUS,Technology,Electronic Components
ASB,Financial Services,Banks - Regional
INSW,Energy,Oil & Gas Midstream
IREN,Financial Services,Capital Markets
EBAY,Consumer Cyclical,Internet Retail
GVDNY,Basic Materials,Specialty Chemicals
PTON,Consumer Cyclical,Leisure
CRSP,Healthcare,Biotechnology
DSGX,Technology,Software - Application
J,Industrials,Engineering & Construction
OKE,Energy,Oil & Gas Midstream
TELNY,Communication Services,Telecom Services
LYG,Financial Services,Banks - Regional
SLB,Energy,Oil & Gas Equipment & Services
FMS,Healthcare,Medical Care Facilities
FFIN,Financial Services,Banks - Regional
SJT,Energy,Oil & Gas E&P
WFC,Financial Services,Banks - Diversified
HOOD,Financial Services,Capital Markets
GDEN,Consumer Cyclical,Resorts & Casinos
NABZY,Financial Services,Banks - Diversified
OGS,Utilities,Utilities - Regulated Gas
JBI,Industrials,Building Products & Equipment
SSB,Financial Services,Banks - Regional
WSC,Industrials,Rental & Leasing Services
CGEMY,Technology,Information Technology Services
CINF,Financial Services,Insurance - Property & Casualty
SSYS,Technology,Computer Hardware
SMCAY,Industrials,Specialty Industrial Machinery
AVAV,Industrials,Aerospace & Defense
JEF,Financial Services,Capital Markets
PRKS,Consumer Cyclical,Leisure
UPS,Industrials,Integrated Freight & Logistics
KMX,Consumer Cyclical,Auto & Truck Dealerships
GTY,Real Estate,REIT - Retail
SALRY,Consumer Defensive,Farm Products
BTEC,Broad Market / ETF,Broad Market / ETF
COMM,Technology,Communication Equipment
CDRE,Industrials,Aerospace & Defense
FDN,Broad Market / ETF,Broad Market / ETF
USAC,Energy,Oil & Gas Equipment & Services
RDDT,Communication Services,Internet Content & Information
PYPL,Financial Services,Credit Services
JBHT,Industrials,Integrated Freight & Logistics
TLGPY,Communication Services,Telecom Services
C,Financial Services,Banks - Diversified
SHTDY,Healthcare,Medical Distribution
XYL,Industrials,Specialty Industrial Machinery
TGNA,Communication Services,Broadcasting
RS,Basic Materials,Steel
MTSFY,Real Estate,Real Estate - Diversified
SOHO,Real Estate,REIT - Hotel & Motel
COO,Healthcare,Medical Instruments & Supplies
SYIEY,Basic Materials,Specialty Chemicals
CMCSA,Communication Services,Telecom Services
SQM,Basic Materials,Specialty Chemicals
RIVN,Consumer Cyclical,Auto Manufacturers
TNL,Consumer Cyclical,Travel Services
ARES,Financial Services,Asset Management
BA,Industrials,Aerospace & Defense
TTDKY,Technology,Electronic Components
PFE,Healthcare,Drug Manufacturers - General
HRB,Consumer Cyclical,Personal Services
ACN,Technology,Information Technology Services
V,Financial Services,Credit Services
DNTUY,Communication Services,Advertising Agencies
ARKK,Broad Market / ETF,Broad Market / ETF
WBD,Communication Services,Entertainment
BEP,Utilities,Utilities - Renewable
MGDDY,Unknown,Unknown
YUMC,Consumer Cyclical,Restaurants
OCGN,Healthcare,Biotechnology
ET,Energy,Oil & Gas Midstream
HNDL,Broad Market / ETF,Broad Market / ETF
HRI,Industrials,Rental & Leasing Services
CYTK,Healthcare,Biotechnology
WELL,Real Estate,REIT - Healthcare Facilities
KRE,Broad Market / ETF,Broad Market / ETF
VTR,Real Estate,REIT - Healthcare Facilities
MITEY,Real Estate,Real Estate - Diversified
FOXA,Communication Services,Entertainment
ROKU,Communication Services,Entertainment
AAPL,Technology,Consumer Electronics
ISUZY,Consumer Cyclical,Auto Manufacturers
ISRG,Healthcare,Medical Instruments & Supplies
SOMMY,Basic Materials,Chemicals
APA,Energy,Oil & Gas E&P
UHS,Healthcare,Medical Care Facilities
NBIX,Healthcare,Drug Manufacturers - Specialty & Generic
PAYC,Technology,Software - Application
AMH,Real Estate,REIT - Residential
INVX,Energy,Oil & Gas Equipment & Services
ALGN,Healthcare,Medical Instruments & Supplies
CPAY,Technology,Software - Infrastructure
ELF,Consumer Defensive,Household & Personal Products
NMR,Financial Services,Capital Markets
HOLX,Healthcare,Medical Instruments & Supplies
SGAPY,Communication Services,Telecom Services
FJTSY,Technology,Information Technology Services
JPM,Financial Services,Banks - Diversified
BXP,Real Estate,REIT - Office
CVX,Energy,Oil & Gas Integrated
MKC,Consumer Defensive,Packaged Foods
ESS,Real Estate,REIT - Residential
DY,Industrials,Engineering & Construction
LNVGY,Technology,Computer Hardware
MDY,Broad Market / ETF,Broad Market / ETF
MDNDF,Consumer Cyclical,Restaurants
VRSN,Technology,Software - Infrastructure
UPMMY,Basic Materials,Paper & Paper Products
THC,Healthcare,Medical Care Facilities
IDA,Utilities,Utilities - Regulated Electric
BDRFF,Consumer Defensive,Household & Personal Products
TTNDY,Industrials,Tools & Accessories
LPLA,Financial Services,Capital Markets
CHDN,Consumer Cyclical,Gambling
PHG,Healthcare,Medical Devices
BOH,Financial Services,Banks - Regional
IMO,Energy,Oil & Gas Integrated
ASTH,Healthcare,Medical Care Facilities
ORCL,Technology,Software - Infrastructure
RNG,Technology,Software - Application
LRLCY,Consumer Defensive,Household & Personal Products
VIK,Consumer Cyclical,Travel Services
VRE,Real Estate,REIT - Residential
AJINF,Consumer Defensive,Packaged Foods
CCJ,Energy,Uranium
SBCF,Financial Services,Banks - Regional
PG,Consumer Defensive,Household & Personal Products
EBS,Healthcare,Drug Manufacturers - Specialty & Generic
WM,Industrials,Waste Management
BUSE,Financial Services,Banks - Regional
GME,Consumer Cyclical,Specialty Retail
TXN,Technology,Semiconductors
RGEN,Healthcare,Medical Instruments & Supplies
OVCHY,Financial Services,Banks - Regional
FHLC,Broad Market / ETF,Broad Market / ETF
SMR,Industrials,Specialty Industrial Machinery
AMKBY,Industrials,Marine Shipping
SNY,Healthcare,Drug Manufacturers - General
TKOMY,Financial Services,Insurance - Property & Casualty
ABCB,Financial Services,Banks - Regional
SOUN,Technology,Software - Application
CNP,Utilities,Utilities - Regulated Electric
MPW,Real Estate,REIT - Healthcare Facilities
CFG,Financial Services,Banks - Regional
SJM,Consumer Defensive,Packaged Foods
BLFS,Healthcare,Medical Instruments & Supplies
DHLGY,Industrials,Integrated Freight & Logistics
SLG,Real Estate,REIT - Office
DTE,Utilities,Utilities - Regulated Electric
GILD,Healthcare,Drug Manufacturers - General
WTRG,Utilities,Utilities - Regulated Water
IHG,Consumer Cyclical,Lodging
JTKWY,,
KDDIY,Communication Services,Telecom Services
JMHLY,Industrials,Conglomerates
ANCTF,Consumer Cyclical,Specialty Retail
WST,Healthcare,Medical Instruments & Supplies
HSBC,Financial Services,Banks - Diversified
NTNX,Technology,Software - Infrastructure
CZR,Consumer Cyclical,Resorts & Casinos
EFX,Industrials,Consulting Services
CNS,Financial Services,Asset Management
AJG,Financial Services,Insurance Brokers
ALLY,Financial Services,Credit Services
DASH,Consumer Cyclical,Internet Retail
ROP,Technology,Software - Application
GEN,Technology,Software - Infrastructure
PCVX,Healthcare,Biotechnology
FTNT,Technology,Software - Infrastructure
NTDOF,Communication Services,Electronic Gaming & Multimedia
BAESY,Industrials,Aerospace & Defense
ELUXY,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
UNCFF,Financial Services,Banks - Regional
SCHX,Broad Market / ETF,Broad Market / ETF
EBKDY,Financial Services,Banks - Regional
AMBR,Technology,Software - Infrastructure
NXPI,Technology,Semiconductors
FATE,Healthcare,Biotechnology
K,Unknown,Unknown
BHKLY,Financial Services,Banks - Regional
ADC,Real Estate,REIT - Retail
BKR,Energy,Oil & Gas Equipment & Services
MRVI,Healthcare,Biotechnology
COST,Consumer Defensive,Discount Stores
HIMX,Technology,Semiconductors
MANH,Technology,Software - Application
HOPE,Financial Services,Banks - Regional
ORI,Financial Services,Insurance - Property & Casualty
WDFC,Basic Materials,Specialty Chemicals
TDOC,Healthcare,Health Information Services
RAL,Technology,Electronic Components
MRNA,Healthcare,Biotechnology
TEL,Technology,Electronic Components
SFL,Industrials,Marine Shipping
IRT,Real Estate,REIT - Residential
ATLKY,Industrials,Specialty Industrial Machinery
TM,Consumer Cyclical,Auto Manufacturers
JKHY,Technology,Information Technology Services
LLYVK,Communication Services,Entertainment
KRYAY,Consumer Defensive,Packaged Foods
CZMWY,Healthcare,Medical Instruments & Supplies
BNTGY,Basic Materials,Specialty Chemicals
MTCH,Communication Services,Internet Content & Information
CTAS,Industrials,Specialty Business Services
TMSNY,Technology,Software - Application
SHG,Financial Services,Banks - Regional
DBSDY,Financial Services,Banks - Regional
XNGSY,Utilities,Utilities - Regulated Gas
CUZ,Real Estate,REIT - Office
WYNN,Consumer Cyclical,Resorts & Casinos
BWIN,Financial Services,Insurance Brokers
HTH,Financial Services,Financial Conglomerates
SABR,Technology,Software - Infrastructure
